article,name,category,source_url,status
"Archer AX11000(EU) V2","Archer AX11000","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax11000/,unchanged
"Archer AX12(EU) V1","Archer AX12","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax12/,unchanged
"Archer AX12(RU) V1","Archer AX12","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax12/,unchanged
"Archer AX1500(EU) V1","Archer AX1500","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax1500/,unchanged
"Archer AX1500(EU) V3","Archer AX1500","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax1500/,unchanged
"Archer AX17(EU) V1","Archer AX17","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax17/,unchanged
"Archer AX17(RU) V1","Archer AX17","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax17/,unchanged
"Archer AX18(EU) V1","Archer AX18","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax18/,unchanged
"Archer AX18(RU) V1","Archer AX18","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax18/,unchanged
"Archer AX1800(EU) V2","Archer AX1800","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax1800/,unchanged
"Archer AX20(EU) V1","Archer AX20","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax20/,unchanged
"Archer AX20(EU) V2","Archer AX20","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax20/,unchanged
"Archer AX20(EU) V3","Archer AX20","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax20/,unchanged
"Archer AX23(EU) V1","Archer AX23","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax23/,unchanged
"Archer AX23(EU) V2","Archer AX23","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax23/,unchanged
"Archer AX23(RU) V1","Archer AX23","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax23/,unchanged
"Archer AX23(UN) V1","Archer AX23","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax23/,unchanged
"Archer AX3000(RU) V1","Archer AX3000","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax3000/,unchanged
"Archer AX3000(RU) V2","Archer AX3000","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax3000/,unchanged
"Archer AX3000(US) V1","Archer AX3000","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax3000/,unchanged
"Archer AX50(EU) V1","Archer AX50","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax50/,unchanged
"Archer AX53(EU) V1","Archer AX53","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax53/,unchanged
"Archer AX53(EU) V2","Archer AX53","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax53/,unchanged
"Archer AX53(RU) V1","Archer AX53","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax53/,unchanged
"Archer AX53(RU) V2","Archer AX53","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax53/,unchanged
"Archer AX5400(JP) V1","Archer AX5400","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax5400/,unchanged
"Archer AX5400(RU) V1","Archer AX5400","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax5400/,unchanged
"Archer AX55 Pro(EU) V1","Archer AX55 Pro","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax55-pro/,unchanged
"Archer AX55 Pro(EU) V2","Archer AX55 Pro","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax55-pro/,unchanged
"Archer AX55(EU) V1","Archer AX55","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax55/,unchanged
"Archer AX55(EU) V2","Archer AX55","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax55/,unchanged
"Archer AX55(EU) V4","Archer AX55","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax55/,unchanged
"Archer AX55(RU) V1","Archer AX55","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax55/,unchanged
"Archer AX56(EU) V1","Archer AX56","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax56/,unchanged
"Archer AX58(EU) V1","Archer AX58","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax58/,unchanged
"Archer AX58(EU) V2","Archer AX58","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax58/,unchanged
"Archer AX58(RU) V2","Archer AX58","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax58/,unchanged
"Archer AX6000(EU) V1","Archer AX6000","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax6000/,unchanged
"Archer AX6000(EU) V2","Archer AX6000","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax6000/,unchanged
"Archer AX6000(UN) V2","Archer AX6000","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax6000/,unchanged
"Archer AX72 Pro(EU) V1","Archer AX72 Pro","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax72-pro/,unchanged
"Archer AX72(EU) V1","Archer AX72","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax72/,unchanged
"Archer AX72(RU) V1","Archer AX72","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax72/,unchanged
"Archer AX72(UN) V1","Archer AX72","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax72/,unchanged
"Archer AX73(EU) V1","Archer AX73","Роутеры Wi-Fi",https://www.tp-link.com/kz/home-networking/wifi-router/archer-ax73/,unchanged
